; Readable locations in D:\Miei Programmi\RemakeOv2\Modellismo.ov2
;
; Longitude,    Latitude, "Name"
  13.07827 ,   37.51033 , "Di F. D'angelo(Sciacca)AG->+39092524908"
  12.59501 ,   37.65459 , "Archimede Di Cardinale Attili(Mazara Del Vallo)TP->+390923942034"
  12.43417 ,   37.79667 , "Toylandia Giocattoli E(Marsala)TP->+390923951078"
  12.53878 ,   38.01685 , "Match Ball s.a.s Articoli Sportivi(Erice)TP->+390923539137"
  12.54500 ,   38.01833 , "Ruggiero Anna Cristina Elettronica Vid(Trapani)TP->+390923551232"
  13.34643 ,   38.12709 , "Le Planeur Auto, Giocattoli(Palermo)PA->+390916256074"
  13.34472 ,   38.12944 , "Hobby Shop(Palermo)PA->+39091346166"
  13.33472 ,   38.13417 , "Playstore Di Bagnasco Gianluigi(Palermo)PA->+39091226386"
  13.34667 ,   38.13972 , "Umrealm(Palermo)PA->+390916255002"
  13.33972 ,   38.14694 , "Hobbylandia Di Messina Rosa Giocattoli(Palermo)PA->+39091515940"
  13.23854 ,   38.17328 , "Pianeta S.a.s.(Capaci)PA->+390918938618"
  14.04806 ,   40.80806 , "De Santo Mario(Monte Di Procida)NA->+390818680211"
  14.19503 ,   41.00126 , "Di D'addio Salvatore(Santa Maria Capua Vetere)CE->+390823845677"
  13.57654 ,   41.21318 , "Di Teresa D'andria(Gaeta)LT->+390771462711"
  14.04722 ,   41.48056 , "Rossi Luigi Complementi D'arredamento(Venafro)IS->+390865900764"
  12.62139 ,   41.50028 , "Willy Model Di Picarella Francesco(Anzio)RM->+39069865145"
  13.33639 ,   41.56889 , "Turboforce(Ceccano)FR->+390775604426"
  13.33167 ,   41.62833 , "Olleia Marco Tabaccheria(Frosinone)FR->+390775201683"
  13.33194 ,   41.62917 , "Il Di Olleia Marco(Frosinone)FR->+390775201683"
  12.77500 ,   41.68111 , "Pucci Tiziana(Velletri)RM->+390696197056"
  13.61167 ,   41.71667 , "Il Pentagono Di Corona R.e Conte Giorgio(Sora)FR->+390776825568"
  13.61197 ,   41.71707 , ""il Pentagono"(Sora)FR->+390776825568"
